ID,HunPress,StartPop,Km2
1,1,0,539.42
2,1,0,93.91
3,1,0,224.04
4,1,0,246.18
5,3,34,14534.6
6,2,1,2258
7,2,1,1336.13
8,1,0,98.03
9,3,7,4086.44
10,1,0,173.98
11,2,4,1406.74
12,1,0,41.32
13,3,2,2940.82
14,3,15,13546.6
15,2,3,3914.52
16,2,1,1578.04
17,2,26,6723.66
18,2,7,503.22
19,2,0,469.04
20,2,0,479.76
21,2,0,1022.43
22,2,0,110.18
23,2,0,325.97
24,2,0,1665.93
25,2,1,2083.92
26,3,0,765.39
27,3,0,799.49
28,2,0,912.49
29,2,0,529.51
30,3,0,184.61
31,3,1,1193.69
32,3,0,660.56
33,3,3,3263.24
34,3,0,535.7
35,3,0,640.67
36,3,0,115.94
37,1,0,226.57
38,3,0,233.67
39,2,0,211.39
40,2,0,102.4
41,3,0,103.86
42,3,0,366.11
43,3,1,717.21
44,2,0,240.72
45,3,0,524.33
46,2,0,164.78
47,3,2,3063.19
48,1,0,300.06
49,3,0,694.84
50,1,0,204.53
51,2,1,2035.15
52,2,0,3000.64
